sales,female,male,20↓,20-30,30-40,40-50,50-60,60↑,highyielddebtriskforecast: N,highyielddebtriskforecast: Y,area_Center,area_East,area_North,area_South,location_台北市,location_新北市,location_基隆市,location_新竹市,location_桃園市,location_新竹縣,location_台中市,location_苗栗縣,location_彰化縣,location_南投縣,location_雲林縣,location_高雄市,location_台南市,location_嘉義市,location_嘉義縣,location_屏東縣,location_宜蘭縣,location_花蓮縣,location_台東縣,location_金門縣,location_澎湖縣
311710,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000159078,2,6,4,2,0,2,0,0,8,0,0,0,8,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0278,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0288,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0367,0,3,0,0,2,0,0,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
A0431,8,4,2,3,2,1,3,1,10,2,2,0,9,1,2,3,1,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A0460,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0524,11,3,0,2,3,5,3,1,11,3,3,0,6,5,0,3,1,0,1,1,1,0,1,0,1,3,0,1,0,1,0,0,0,0,0
A0532,2,0,0,0,1,1,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0639,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A0642,1,1,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
A0700,1,1,0,1,0,1,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0715,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A0769,15,9,1,4,7,3,5,4,22,2,5,1,16,2,3,4,1,3,4,1,3,0,1,0,1,2,0,0,0,0,0,1,0,0,0
A0776,2,0,0,1,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
A0780,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C000467580,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H000141315,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J000725232,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L000523853,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF00000001,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N001809176,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N001980909,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R001155043,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RCAM1,4,4,0,0,1,1,2,4,8,0,2,0,4,2,2,2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
S000589626,0,2,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0